,Forest Joystick Mouse Hub,,,,,,,,Total filament (g),Unit Cost,Total Cost,Total Print time (hr),,,,
,Version: V2.0.2,Last updated:, 2024-Feb-21,,,,,,41, $78.54 , $108.84 ,1:48,,,,
,Commercial Parts,,,,,,,,,,,,,,,
ID,Part,Description,Manufacturer,Supplier,Supplier PN,QTY/UNIT,QTY / PKG,PKGs,$/PKG,Price per Unit,Total Price,,Link,,,
,Adafruit Qt PY SAMD21,U1,Adafruit,Mouser,485-4600,1,1,1, $10.88 , $10.88 , $10.88 ,,https://www.mouser.ca/ProductDetail/Adafruit/4600?qs=hd1VzrDQEGi752M4exorSA%3D%3D,,,
,"Headers, Female, 7 Position","H1,H2",Molex,Mouser,90147-1107,2,1,2, $2.41 , $4.82 , $4.82 ,,https://www.mouser.ca/ProductDetail/538-90147-1107,,,
,Mono Switch Jacks,"SW_SA,SW_SB,SW_SC,SW_SD,SW_M",CUI Devices,Mouser,490-SJ1-3535NG,5,1,5, $2.31 , $11.55 , $11.55 ,,https://www.mouser.ca/ProductDetail/CUI-Devices/SJ1-3535NG?qs=WyjlAZoYn50jUmKVsqeRJw%3D%3D,,,
,TRRS Jack,Joystick,CUI Devices,Mouser,490-SJ-43514,1,1,1, $1.91 , $1.91 , $1.91 ,,https://www.mouser.ca/ProductDetail/CUI-Devices/SJ-43514?qs=WyjlAZoYn51bsBOfuwwiuw%3D%3D,,,
,Tactile Buttons,"B1,B2",Omron,Mouser,653-B3F-5050,2,1,2, $0.90 , $1.80 , $1.80 ,,https://www.mouser.ca/ProductDetail/Omron-Electronics/B3F-5050?qs=dOLq8QE0Pqqk%2FO9x2OpTQw%3D%3D,,,
,Piezo Buzzer PS1240,BUZZ,Adafruit,Mouser,485-160,1,1,1,2.18, $2.18 , $2.18 ,,https://www.mouser.ca/ProductDetail/Adafruit/160?qs=GURawfaeGuDIqfAvA4gXSg%3D%3D,,,
,Neopixels,"L1,L2,L3,L4,L5",Adafruit,Mouser,485-1938,5,5,1, $7.18 , $7.18 , $7.18 ,,https://www.mouser.ca/ProductDetail/Adafruit/1938?qs=GURawfaeGuAkVClyRWI8wg%3D%3D,,,
,Modular Connector (RJ25),J1,TE Connectivity / AMP,Mouser,571-5555165-1,1,1,1, $1.41 , $1.41 , $1.41 ,,https://www.mouser.ca/ProductDetail/TE-Connectivity-AMP/5555165-1?qs=BcfjnG7NVaWb2UIqidZ6Zg%3D%3D,,,
,"Resistor, 220, 1/4W, Through hole",R1,KOA Speer,Mouser,660-MF1/4LCT52R221J,1,1,1, $0.15 , $0.15 , $0.15 ,,https://www.mouser.ca/ProductDetail/KOA-Speer/MF1-4LCT52R221J?qs=91WPSIiQh9JIjB%2FAtwkZiw%3D%3D,,,
,"Resistor, 2.2K, 1/4W, Through hole",R3,KOA Speer,Mouser,660-MF1/4LCT52R222G,1,1,1, $0.15 , $0.15 , $0.15 ,,https://www.mouser.ca/ProductDetail/KOA-Speer/MF1-4LCT52R222G?qs=91WPSIiQh9Kh6m%2FGxJ5MCA%3D%3D,,,
